"id";"objectid";"point_lat";"point_lng";"xkey";"vrije_hoogte";"ophanging";"type";"vorm";"afmeting1";"afmeting2";"opschrift";"fabtype";"beeldvlak";"fabdatum";"subkey";"x";"y";"shape"
"5563";"13731067";"51.23437132693700";"4.41274487640940";"99003";"3500";"Muurarmatuur";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1994-01-01";"99003.B1";"153072.26386342";"213827.99747939";""
"5566";"13731068";"51.23437132693700";"4.41274487640940";"99003";"3500";"Muurarmatuur";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1993-01-01";"99003.B2";"153072.26386342";"213827.99747939";""
"5569";"13731069";"51.23440541361500";"4.41254239878620";"99004";"2650";"Steun";"C31b";"ro";"700";"0";"";"Vlak";"Type I";"1998-01-01";"99004.B1";"153058.11953789";"213831.7813117";""
"5572";"13731070";"51.23440541361500";"4.41254239878620";"99004";"2650";"Steun";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"99004.B2";"153058.11953789";"213831.7813117";""
"5575";"13731071";"51.23437092311500";"4.41117370384560";"99005";"2400";"Steun";"F4b";"rh";"600";"900";"";"SB250";"Type I";"2005-01-01";"99005.B1";"152962.52535385";"213827.88766943";""
"5578";"13731072";"51.23439926592800";"4.41088854681370";"99007";"2550";"Verlichtingspaal";"C31b";"ro";"700";"0";"";"SB250";"Type II";"2003-01-01";"99007.B1";"152942.60673865";"213831.02943203";""
"5581";"13731073";"51.23439926592800";"4.41088854681370";"99007";"2550";"Verlichtingspaal";"M3";"rh";"700";"400";"";"SB250";"Type II";"2002-01-01";"99007.B2";"152942.60673865";"213831.02943203";""
"5584";"13731074";"51.23438385056600";"4.40907624593620";"99008";"2850";"Verlichtingspaal";"unknown";"rh";"1000";"700";"Sluikstorten|is een misdrijf|Overtreders worden|steeds vervolgd|";"Vlak";"Type I";"1998-01-01";"99008.B1";"152816.02761871";"213829.24292012";""
"5587";"13731075";"51.23227616490400";"4.41298813668110";"99009";"2400";"Muurarmatuur";"F19";"rh";"700";"700";"";"Vlak";"Type I";"1996-01-01";"99009.B1";"153089.39542285";"213594.91006368";""
"5590";"13731076";"51.23227616490400";"4.41298813668110";"99009";"2400";"Muurarmatuur";"M5";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"99009.B2";"153089.39542285";"213594.91006368";""
"5593";"13731077";"51.23227698756300";"4.41275958890780";"99010";"2600";"Muurarmatuur";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1995-01-01";"99010.B1";"153073.43173125";"213594.99195104";""
"5596";"13731078";"51.23227698756300";"4.41275958890780";"99010";"2600";"Muurarmatuur";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"99010.B2";"153073.43173125";"213594.99195104";""
"5599";"13731079";"51.23167050028100";"4.41365613264860";"99011";"1600";"Steun";"F4a";"rh";"600";"900";"";"SB250";"Type I";"2005-01-01";"99011.B1";"153136.09507322";"213527.55519535";""
"5602";"13731080";"51.23167050028100";"4.41365613264860";"99011";"1600";"Steun";"F19";"rh";"700";"700";"";"B&W";"Type I";"1950-01-01";"99011.B2";"153136.09507322";"213527.55519535";""
"5605";"13731081";"51.23167050028100";"4.41365613264860";"99011";"1600";"Steun";"M3";"rh";"700";"400";"";"SB250";"Type II";"2002-01-01";"99011.B3";"153136.09507322";"213527.55519535";""
"5608";"13731082";"51.22813753224900";"4.43545664099130";"99012";"2500";"Muurarmatuur";"B17";"dh";"700";"0";"";"Vlak";"Type I";"1998-01-01";"99012.B1";"154659.19624246";"213135.65340684";""
"5611";"13731083";"51.22813753224900";"4.43545664099130";"99012";"2500";"Muurarmatuur";"M9";"rh";"400";"400";"";"Vlak";"Type I";"1998-01-01";"99012.B2";"154659.19624246";"213135.65340684";""
"5614";"13731084";"51.22886992210300";"4.43334494036710";"99013";"2600";"Muurarmatuur";"F45c";"rh";"400";"600";"";"Vlak";"Type I";"1997-01-01";"99013.B1";"154511.61319291";"213217.00362466";""
"5617";"13731085";"51.22921307767300";"4.43189991589460";"99014";"2600";"Muurarmatuur";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1950-01-01";"99014.B1";"154410.64075219";"213255.0936216";""
"5620";"13731086";"51.22921307767300";"4.43189991589460";"99014";"2600";"Muurarmatuur";"M2";"rh";"450";"225";"";"Vlak";"Type I";"1950-01-01";"99014.B2";"154410.64075219";"213255.0936216";""
"5623";"13731087";"51.22921307767300";"4.43189991589460";"99015";"2750";"";"GXb";"rh";"100";"400";"";"Vlak";"Type I";"1950-01-01";"99015.B1";"154410.64075219";"213255.0936216";""
"5626";"13731088";"51.22921307767300";"4.43189991589460";"99015";"2750";"";"E3";"ro";"700";"0";"";"Vlak";"Type I";"1950-01-01";"99015.B2";"154410.64075219";"213255.0936216";""
"5629";"13731089";"51.23031479693700";"4.43043580975630";"99017";"2700";"Muurarmatuur";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1998-01-01";"99017.B1";"154308.26599975";"213377.57849533";""
"5632";"13731090";"51.23031479693700";"4.43043580975630";"99017";"2700";"Muurarmatuur";"M2";"rh";"450";"225";"";"Vlak";"Type I";"1996-01-01";"99017.B2";"154308.26599975";"213377.57849533";""
